Begin,End,Label,Type,Speaker
89.01,89.78,imagine,words,corpus
89.78,89.86,i,words,corpus
89.86,90.06,try,words,corpus
90.06,90.15,to,words,corpus
90.15,90.5,see,words,corpus
90.5,90.71,what,words,corpus
90.71,90.81,is,words,corpus
90.81,91.41,around,words,corpus
91.41,91.88,me,words,corpus
91.88,91.98,maybe,words,corpus
92.46,93.22,motion,words,corpus
93.22,93.49,capture,words,corpus
93.66,94.11,maybe,words,corpus
94.54,96.47,data,words,corpus
96.5,97.14,sets,words,corpus
97.14,97.44,something,words,corpus
97.44,97.57,to,words,corpus
97.57,97.79,think,words,corpus
97.79,98.05,about,words,corpus
98.05,98.21,while,words,corpus
98.21,98.28,we,words,corpus
98.28,98.31,are,words,corpus
98.31,98.54,doing,words,corpus
98.54,98.72,this,words,corpus
98.72,99.52,exercise,words,corpus
99.68,100.12,hopefully,words,corpus
100.12,100.32,not,words,corpus
100.32,100.41,the,words,corpus
100.41,100.99,technology,words,corpus
100.99,101.09,we,words,corpus
101.09,101.12,are,words,corpus
101.12,101.78,developing,words,corpus
101.78,102.01,right,words,corpus
102.01,102.33,now,words,corpus
109.36,109.46,the,words,corpus
109.46,109.81,most,words,corpus
109.84,110.36,annoying,words,corpus
110.4,110.88,animal,words,corpus
110.88,111.03,in,words,corpus
111.03,111.16,the,words,corpus
111.2,111.57,animal,words,corpus
111.57,112.09,kingdom,words,corpus
112.14,112.59,without,words,corpus
112.59,112.67,a,words,corpus
112.67,113.16,doubt,words,corpus
113.23,113.4,is,words,corpus
113.4,113.53,the,words,corpus
113.53,113.93,beaver,words,corpus
114.71,115.22,because,words,corpus
115.4,115.49,it,words,corpus
115.49,115.78,just,words,corpus
115.78,116.23,chews,words,corpus
116.23,116.45,on,words,corpus
116.45,117.09,things,words,corpus
117.09,117.22,and,words,corpus
117.22,117.33,it,words,corpus
117.33,117.75,creates,words,corpus
117.75,118.15,dams,words,corpus
118.15,118.24,and,words,corpus
118.24,118.33,it,words,corpus
118.33,118.74,stops,words,corpus
118.74,119.08,water,words,corpus
119.08,119.11,it,words,corpus
119.11,119.2,is,words,corpus
119.2,119.37,just,words,corpus
119.37,119.64,making,words,corpus
119.64,119.69,a,words,corpus
119.69,120.23,mess,words,corpus
5.98,6.06,AY1,phones,corpus
6.06,6.17,TH,phones,corpus
6.17,6.2,IH1,phones,corpus
6.2,6.25,NG,phones,corpus
6.25,6.3,K,phones,corpus
6.3,6.34,DH,phones,corpus
6.34,6.4,AH0,phones,corpus
6.4,6.56,W,phones,corpus
6.56,6.65,ER1,phones,corpus
6.65,6.79,S,phones,corpus
6.79,6.82,T,phones,corpus
6.82,6.98,F,phones,corpus
6.98,7.19,UW1,phones,corpus
7.19,7.37,D,phones,corpus
7.41,7.46,DH,phones,corpus
7.46,7.56,AE1,phones,corpus
7.56,7.62,T,phones,corpus
7.62,7.7,W,phones,corpus
7.7,7.73,UH1,phones,corpus
7.73,7.81,D,phones,corpus
7.81,7.85,B,phones,corpus
7.85,7.96,IY0,phones,corpus
7.96,8.07,L,phones,corpus
8.07,8.13,IH1,phones,corpus
8.13,8.21,K,phones,corpus
8.21,8.26,W,phones,corpus
8.26,8.31,AH0,phones,corpus
8.31,8.42,F,phones,corpus
8.42,8.63,AY2,phones,corpus
8.63,8.69,D,phones,corpus
8.69,8.78,AE1,phones,corpus
8.78,8.84,N,phones,corpus
8.84,8.89,D,phones,corpus
8.89,8.92,D,phones,corpus
8.92,8.97,R,phones,corpus
8.97,9.02,AE1,phones,corpus
9.02,9.06,NG,phones,corpus
9.06,9.12,K,phones,corpus
9.12,9.19,TH,phones,corpus
9.19,9.22,R,phones,corpus
9.22,9.27,UW1,phones,corpus
9.27,9.34,AH0,phones,corpus
9.34,9.47,S,phones,corpus
9.47,9.58,T,phones,corpus
9.58,9.64,R,phones,corpus
9.64,9.87,AA1,phones,corpus
10.52,10.73,W,phones,corpus
10.73,10.82,UH1,phones,corpus
10.82,10.9,D,phones,corpus
11.17,11.22,B,phones,corpus
11.22,11.8,IY1,phones,corpus
12.66,12.79,S,phones,corpus
12.79,12.83,AH1,phones,corpus
12.83,12.92,M,phones,corpus
12.92,12.99,TH,phones,corpus
12.99,13.05,IH0,phones,corpus
13.05,13.36,NG,phones,corpus
13.36,13.4,M,phones,corpus
13.4,13.58,IY1,phones,corpus
13.58,13.62,T,phones,corpus
13.62,13.97,IY0,phones,corpus
14.21,14.25,B,phones,corpus
14.25,14.29,IH0,phones,corpus
14.29,14.36,K,phones,corpus
14.36,14.41,AH1,phones,corpus
14.41,14.49,Z,phones,corpus
14.49,14.55,AY1,phones,corpus
14.55,14.58,D,phones,corpus
14.58,14.61,UW1,phones,corpus
14.61,14.64,N,phones,corpus
14.64,14.68,AA1,phones,corpus
14.68,14.73,T,phones,corpus
14.73,14.8,TH,phones,corpus
14.8,14.83,IH1,phones,corpus
14.83,14.9,NG,phones,corpus
14.9,14.93,K,phones,corpus
14.93,14.96,DH,phones,corpus
14.96,14.99,AE1,phones,corpus
14.99,15.06,T,phones,corpus
15.06,15.11,W,phones,corpus
15.11,15.14,UH1,phones,corpus
15.14,15.25,D,phones,corpus
15.25,15.34,L,phones,corpus
15.34,15.4,IH1,phones,corpus
15.4,15.5,K,phones,corpus
15.5,15.55,W,phones,corpus
15.55,15.61,AH0,phones,corpus
15.61,15.75,F,phones,corpus
15.75,15.98,AY2,phones,corpus
15.98,16.13,W,phones,corpus
16.13,16.29,EH1,phones,corpus
16.29,16.4,L,phones,corpus
16.4,16.48,L,phones,corpus
16.48,16.56,AY1,phones,corpus
16.56,16.64,K,phones,corpus
16.64,16.71,AY1,phones,corpus
16.71,16.78,K,phones,corpus
16.78,16.83,AE1,phones,corpus
16.83,16.87,N,phones,corpus
16.87,16.88,AA0,phones,corpus
16.88,16.92,T,phones,corpus
16.92,16.98,IH0,phones,corpus
16.98,17.04,M,phones,corpus
17.04,17.12,AE1,phones,corpus
17.12,17.19,JH,phones,corpus
17.19,17.25,AH0,phones,corpus
17.25,17.4,N,phones,corpus
17.4,17.49,IY1,phones,corpus
17.49,17.53,T,phones,corpus
17.53,17.6,IH0,phones,corpus
17.6,17.8,NG,phones,corpus
18.01,18.06,D,phones,corpus
18.06,18.11,R,phones,corpus
18.11,18.16,IH1,phones,corpus
18.16,18.26,NG,phones,corpus
18.26,18.33,K,phones,corpus
18.33,18.4,IH0,phones,corpus
18.4,18.48,NG,phones,corpus
18.48,18.52,AH0,phones,corpus
18.52,18.68,S,phones,corpus
18.68,18.83,T,phones,corpus
18.83,19.08,EY1,phones,corpus
19.08,19.32,K,phones,corpus
19.97,20.01,B,phones,corpus
20.01,20.05,AH1,phones,corpus
20.05,20.09,T,phones,corpus
20.09,20.16,M,phones,corpus
20.16,20.23,EY1,phones,corpus
20.23,20.28,B,phones,corpus
20.28,20.33,IY0,phones,corpus
20.33,20.36,AY1,phones,corpus
20.36,20.37,W,phones,corpus
20.37,20.38,AH0,phones,corpus
20.38,20.41,L,phones,corpus
20.41,20.56,F,phones,corpus
20.56,20.65,IY1,phones,corpus
20.65,20.71,L,phones,corpus
20.71,20.77,AH0,phones,corpus
20.77,20.84,B,phones,corpus
20.84,20.92,AW1,phones,corpus
20.92,20.96,T,phones,corpus
20.96,21.01,IH1,phones,corpus
21.01,21.06,T,phones,corpus
21.06,21.11,D,phones,corpus
21.11,21.15,IH1,phones,corpus
21.15,21.25,F,phones,corpus
21.25,21.28,R,phones,corpus
21.28,21.31,AH0,phones,corpus
21.31,21.34,N,phones,corpus
21.34,21.39,T,phones,corpus
21.39,21.43,L,phones,corpus
21.43,21.48,IY0,phones,corpus
21.48,21.55,W,phones,corpus
21.55,21.59,EH1,phones,corpus
21.59,21.62,N,phones,corpus
21.62,21.63,AY1,phones,corpus
21.63,21.66,AE1,phones,corpus
21.66,21.73,M,phones,corpus
21.77,21.82,OW1,phones,corpus
21.82,22.04,L,phones,corpus
22.04,22.14,D,phones,corpus
31.09,31.26,AY1,phones,corpus
31.26,31.52,TH,phones,corpus
31.52,31.66,IH1,phones,corpus
31.66,31.73,NG,phones,corpus
31.73,31.9,K,phones,corpus
31.95,32.08,DH,phones,corpus
32.08,32.28,AE1,phones,corpus
32.28,32.32,T,phones,corpus
32.35,32.45,AY1,phones,corpus
32.45,32.54,K,phones,corpus
32.54,32.58,AH0,phones,corpus
32.58,32.66,N,phones,corpus
32.66,32.71,D,phones,corpus
32.71,33.01,UW1,phones,corpus
33.05,33.11,AA1,phones,corpus
33.11,33.14,L,phones,corpus
33.14,33.21,M,phones,corpus
33.21,33.28,OW2,phones,corpus
33.28,33.35,S,phones,corpus
33.35,33.41,T,phones,corpus
33.46,33.54,EH1,phones,corpus
33.54,33.6,N,phones,corpus
33.6,33.67,IY0,phones,corpus
33.67,33.78,TH,phones,corpus
33.78,33.89,IH2,phones,corpus
33.89,33.99,NG,phones,corpus
34.14,34.18,B,phones,corpus
34.18,34.29,EH1,phones,corpus
34.29,34.34,T,phones,corpus
34.34,34.57,ER0,phones,corpus
34.77,34.86,DH,phones,corpus
34.86,34.91,AE1,phones,corpus
34.91,35.0,N,phones,corpus
35.0,35.36,spn,phones,corpus
35.36,35.41,P,phones,corpus
35.41,35.48,ER0,phones,corpus
35.48,35.59,S,phones,corpus
35.59,35.7,EH1,phones,corpus
35.7,35.78,N,phones,corpus
35.78,35.9,T,phones,corpus
35.9,36.01,AH1,phones,corpus
36.01,36.11,V,phones,corpus
36.11,36.15,DH,phones,corpus
36.15,36.22,AH0,phones,corpus
36.22,36.33,P,phones,corpus
36.33,36.41,IY1,phones,corpus
36.41,36.5,P,phones,corpus
36.5,36.53,AH0,phones,corpus
36.53,36.67,L,phones,corpus
36.67,36.8,B,phones,corpus
36.8,36.85,IH0,phones,corpus
36.85,36.94,K,phones,corpus
36.94,37.07,AH1,phones,corpus
37.07,37.22,Z,phones,corpus
37.46,37.52,EH1,phones,corpus
37.52,37.58,Z,phones,corpus
37.58,37.65,AY1,phones,corpus
37.65,37.74,L,phones,corpus
37.74,37.79,UH1,phones,corpus
37.79,37.87,K,phones,corpus
37.87,38.01,ER0,phones,corpus
38.01,38.15,AW1,phones,corpus
38.15,38.22,N,phones,corpus
38.22,38.25,D,phones,corpus
38.25,38.28,M,phones,corpus
38.28,38.62,IY1,phones,corpus
38.62,38.69,AE1,phones,corpus
38.69,38.72,N,phones,corpus
38.72,38.77,D,phones,corpus
38.77,38.84,AY1,phones,corpus
38.84,38.99,S,phones,corpus
38.99,39.36,IY1,phones,corpus
39.78,39.83,DH,phones,corpus
39.83,39.88,AH0,phones,corpus
39.88,40.01,P,phones,corpus
40.01,40.11,IY1,phones,corpus
40.11,40.19,P,phones,corpus
40.19,40.22,AH0,phones,corpus
40.22,40.36,L,phones,corpus
40.36,40.42,AH0,phones,corpus
40.42,40.45,N,phones,corpus
40.45,40.49,D,phones,corpus
40.49,40.55,HH,phones,corpus
40.55,40.59,Y,phones,corpus
40.59,40.63,UW0,phones,corpus
40.63,40.72,M,phones,corpus
40.72,40.83,AE1,phones,corpus
40.83,40.89,N,phones,corpus
40.89,40.97,IH0,phones,corpus
40.97,41.01,T,phones,corpus
41.01,41.29,IY0,phones,corpus
41.29,41.33,AE1,phones,corpus
41.33,41.38,N,phones,corpus
41.38,41.41,D,phones,corpus
41.41,41.44,DH,phones,corpus
41.44,41.54,IY0,phones,corpus
41.58,41.71,AE1,phones,corpus
41.71,41.78,K,phones,corpus
41.78,41.85,SH,phones,corpus
41.85,41.9,AH0,phones,corpus
41.9,41.95,N,phones,corpus
41.95,42.01,Z,phones,corpus
42.01,42.07,AH0,phones,corpus
42.07,42.14,V,phones,corpus
42.18,42.29,AH1,phones,corpus
42.29,42.34,DH,phones,corpus
42.34,42.49,ER0,phones,corpus
42.49,42.6,Z,phones,corpus
43.04,43.16,AY1,phones,corpus
43.16,43.29,F,phones,corpus
43.29,43.43,IY1,phones,corpus
43.43,43.62,L,phones,corpus
43.62,43.68,DH,phones,corpus
43.68,43.86,AE1,phones,corpus
43.86,44.0,T,phones,corpus
44.0,44.34,AY1,phones,corpus
44.41,44.51,AE1,phones,corpus
44.51,44.63,M,phones,corpus
44.77,44.82,JH,phones,corpus
44.82,44.86,IH0,phones,corpus
44.86,44.95,S,phones,corpus
44.95,45.07,T,phones,corpus
45.07,45.11,B,phones,corpus
45.11,45.2,EH1,phones,corpus
45.2,45.26,T,phones,corpus
45.26,45.38,ER0,phones,corpus
45.38,45.47,DH,phones,corpus
45.47,45.52,AH0,phones,corpus
45.52,45.59,N,phones,corpus
45.59,45.66,EH1,phones,corpus
45.66,45.71,V,phones,corpus
45.71,45.74,R,phones,corpus
45.74,45.78,IY0,phones,corpus
45.78,45.85,W,phones,corpus
45.85,45.91,AH2,phones,corpus
45.91,45.96,N,phones,corpus
45.96,46.03,EH1,phones,corpus
46.03,46.12,L,phones,corpus
46.12,46.33,S,phones,corpus
54.45,54.5,DH,phones,corpus
54.5,54.53,AH0,phones,corpus
54.53,54.61,M,phones,corpus
54.61,54.67,OW1,phones,corpus
54.67,54.72,S,phones,corpus
54.72,54.79,T,phones,corpus
54.79,54.84,AH0,phones,corpus
54.84,54.98,M,phones,corpus
54.98,55.15,EY1,phones,corpus
55.15,55.21,Z,phones,corpus
55.21,55.28,IH0,phones,corpus
55.28,55.37,NG,phones,corpus
55.37,55.41,N,phones,corpus
55.41,55.53,EY1,phones,corpus
55.53,55.63,CH,phones,corpus
55.63,55.7,ER0,phones,corpus
55.7,55.84,P,phones,corpus
55.84,55.91,L,phones,corpus
55.91,56.14,EY1,phones,corpus
56.14,56.24,S,phones,corpus
56.24,56.37,DH,phones,corpus
56.37,56.42,AE1,phones,corpus
56.42,56.46,T,phones,corpus
56.46,56.49,AY1,phones,corpus
56.49,56.52,HH,phones,corpus
56.52,56.55,AE1,phones,corpus
56.55,56.72,V,phones,corpus
56.72,56.75,B,phones,corpus
56.75,56.83,IH1,phones,corpus
56.83,56.95,N,phones,corpus
56.95,57.07,T,phones,corpus
57.07,57.39,UW1,phones,corpus
57.98,58.01,D,phones,corpus
58.01,58.46,EH1,phones,corpus
58.46,58.57,F,phones,corpus
58.57,58.6,N,phones,corpus
58.6,58.65,AH0,phones,corpus
58.65,58.85,T,phones,corpus
58.85,58.9,L,phones,corpus
58.9,58.94,IY0,phones,corpus
58.94,59.02,HH,phones,corpus
59.02,59.1,AE1,phones,corpus
59.1,59.17,Z,phones,corpus
59.17,59.22,T,phones,corpus
59.22,59.27,IH0,phones,corpus
59.27,59.34,B,phones,corpus
59.34,59.6,IY1,phones,corpus
59.6,59.64,IH1,phones,corpus
59.64,59.73,N,phones,corpus
59.73,59.83,K,phones,corpus
59.83,59.93,AE1,phones,corpus
59.93,59.99,N,phones,corpus
59.99,60.06,AH0,phones,corpus
60.06,60.11,D,phones,corpus
60.11,60.18,AH0,phones,corpus
60.18,60.19,M,phones,corpus
60.19,60.22,EY1,phones,corpus
60.22,60.25,B,phones,corpus
60.25,60.28,IY0,phones,corpus
60.8,60.83,P,phones,corpus
60.83,60.86,R,phones,corpus
60.86,61.17,AA1,phones,corpus
61.17,61.21,B,phones,corpus
61.21,61.25,AH0,phones,corpus
61.25,61.28,B,phones,corpus
61.28,61.31,L,phones,corpus
61.31,61.53,IY0,phones,corpus
61.87,62.02,IY1,phones,corpus
62.02,62.08,V,phones,corpus
62.08,62.13,IH0,phones,corpus
62.13,62.21,N,phones,corpus
62.21,62.31,K,phones,corpus
62.31,62.35,W,phones,corpus
62.35,62.38,AH0,phones,corpus
62.38,62.46,B,phones,corpus
62.46,62.72,EH1,phones,corpus
62.72,62.8,K,phones,corpus
62.8,62.83,HH,phones,corpus
62.83,63.1,AE1,phones,corpus
63.1,63.35,V,phones,corpus
63.45,63.49,B,phones,corpus
63.49,63.61,IH1,phones,corpus
63.61,63.71,N,phones,corpus
63.71,63.77,G,phones,corpus
63.77,63.84,OW1,phones,corpus
63.84,63.92,IH0,phones,corpus
63.92,63.97,NG,phones,corpus
63.97,64.01,IH0,phones,corpus
64.01,64.08,N,phones,corpus
64.08,64.12,DH,phones,corpus
64.12,64.46,AH0,phones,corpus
64.46,64.49,IY1,phones,corpus
64.49,64.59,S,phones,corpus
64.59,64.63,T,phones,corpus
64.63,64.7,ER0,phones,corpus
64.7,64.76,N,phones,corpus
64.76,64.86,T,phones,corpus
64.86,65.0,AW1,phones,corpus
65.0,65.03,N,phones,corpus
65.03,65.17,SH,phones,corpus
65.17,65.52,IH0,phones,corpus
65.52,65.57,P,phones,corpus
65.57,65.66,S,phones,corpus
65.66,65.74,AE1,phones,corpus
65.74,65.81,N,phones,corpus
65.81,65.91,D,phones,corpus
65.91,65.98,W,phones,corpus
65.98,66.04,AA1,phones,corpus
66.04,66.14,K,phones,corpus
66.14,66.23,IH0,phones,corpus
66.23,66.35,NG,phones,corpus
66.35,66.46,TH,phones,corpus
66.46,66.5,R,phones,corpus
66.5,66.74,UW1,phones,corpus
66.74,66.79,DH,phones,corpus
66.79,66.84,AH0,phones,corpus
66.84,66.96,F,phones,corpus
66.96,67.05,AO1,phones,corpus
67.05,67.15,R,phones,corpus
67.15,67.44,AH0,phones,corpus
67.44,67.53,S,phones,corpus
67.53,67.63,T,phones,corpus
67.63,67.66,AH0,phones,corpus
67.66,67.77,N,phones,corpus
67.77,67.82,D,phones,corpus
67.82,67.92,S,phones,corpus
67.92,67.95,IY1,phones,corpus
67.95,68.0,IH0,phones,corpus
68.0,68.08,NG,phones,corpus
68.08,68.16,DH,phones,corpus
68.16,68.21,AH0,phones,corpus
68.21,68.27,D,phones,corpus
68.27,68.31,IH1,phones,corpus
68.31,68.38,F,phones,corpus
68.38,68.42,R,phones,corpus
68.42,68.45,AH0,phones,corpus
68.45,68.48,N,phones,corpus
68.48,68.51,T,phones,corpus
68.55,68.65,AE1,phones,corpus
68.65,68.72,N,phones,corpus
68.72,68.76,AH0,phones,corpus
68.76,68.83,M,phones,corpus
68.83,68.95,AH0,phones,corpus
68.95,68.99,L,phones,corpus
68.99,69.11,Z,phones,corpus
69.11,69.14,R,phones,corpus
69.14,69.19,AH1,phones,corpus
69.19,69.24,N,phones,corpus
69.24,69.28,IH0,phones,corpus
69.28,69.35,NG,phones,corpus
69.35,69.5,ER0,phones,corpus
69.5,69.74,AW1,phones,corpus
69.74,69.82,N,phones,corpus
69.82,69.85,D,phones,corpus
69.85,69.88,DH,phones,corpus
69.88,69.93,EH1,phones,corpus
69.93,69.98,R,phones,corpus
69.98,70.03,W,phones,corpus
70.03,70.07,AH0,phones,corpus
70.07,70.19,Z,phones,corpus
70.19,70.22,R,phones,corpus
70.22,70.28,IY1,phones,corpus
70.28,70.34,L,phones,corpus
70.34,70.42,IY0,phones,corpus
70.42,70.47,AH0,phones,corpus
70.47,70.55,G,phones,corpus
70.55,70.59,R,phones,corpus
70.59,70.69,EY1,phones,corpus
70.69,70.72,T,phones,corpus
70.72,70.77,IH0,phones,corpus
70.77,70.82,K,phones,corpus
70.82,70.88,S,phones,corpus
70.88,70.95,P,phones,corpus
70.95,71.01,IH1,phones,corpus
71.01,71.07,R,phones,corpus
71.07,71.13,IY0,phones,corpus
71.13,71.26,AH0,phones,corpus
71.26,71.3,N,phones,corpus
71.3,71.41,S,phones,corpus
71.41,71.48,AH0,phones,corpus
71.48,71.56,N,phones,corpus
71.56,71.62,D,phones,corpus
71.62,71.79,AY1,phones,corpus
72.2,72.23,W,phones,corpus
72.23,72.27,AH0,phones,corpus
72.27,72.37,Z,phones,corpus
72.37,72.4,R,phones,corpus
72.4,72.44,IH1,phones,corpus
72.44,72.48,L,phones,corpus
72.48,72.53,IY0,phones,corpus
72.53,72.62,HH,phones,corpus
72.62,72.7,AE1,phones,corpus
72.7,72.79,P,phones,corpus
72.79,72.85,IY0,phones,corpus
72.85,72.95,T,phones,corpus
72.95,72.98,IH0,phones,corpus
72.98,73.05,B,phones,corpus
73.05,73.12,IY0,phones,corpus
73.12,73.17,DH,phones,corpus
73.17,73.24,EH1,phones,corpus
73.24,73.28,R,phones,corpus
73.28,73.35,HH,phones,corpus
73.35,73.39,W,phones,corpus
73.39,73.43,EH1,phones,corpus
73.43,73.47,N,phones,corpus
73.47,73.54,AY1,phones,corpus
73.54,73.57,W,phones,corpus
73.57,73.61,AH0,phones,corpus
73.61,73.66,Z,phones,corpus
73.66,73.75,DH,phones,corpus
73.75,73.78,EH1,phones,corpus
73.78,73.91,R,phones,corpus
83.78,83.86,DH,phones,corpus
83.86,83.91,AH0,phones,corpus
83.91,83.99,N,phones,corpus
83.99,84.07,EH1,phones,corpus
84.07,84.14,K,phones,corpus
84.14,84.26,S,phones,corpus
84.26,84.43,TH,phones,corpus
84.43,84.57,IH1,phones,corpus
84.57,84.92,NG,phones,corpus
84.95,85.04,T,phones,corpus
85.04,85.07,IH0,phones,corpus
85.07,85.14,B,phones,corpus
85.14,85.26,IY0,phones,corpus
85.26,85.36,AA2,phones,corpus
85.36,85.43,B,phones,corpus
85.43,85.63,S,phones,corpus
85.63,85.7,AH0,phones,corpus
85.7,85.85,L,phones,corpus
85.85,86.14,IY1,phones,corpus
86.14,86.33,T,phones,corpus
87.48,87.98,OW1,phones,corpus
87.98,88.15,IH0,phones,corpus
88.15,88.18,T,phones,corpus
88.18,88.21,IH0,phones,corpus
88.21,88.34,Z,phones,corpus
88.34,88.45,HH,phones,corpus
88.45,88.49,AA1,phones,corpus
88.49,88.58,R,phones,corpus
88.58,88.72,D,phones,corpus
88.72,88.86,T,phones,corpus
88.86,89.01,UW1,phones,corpus
89.01,89.05,IH0,phones,corpus
89.05,89.27,M,phones,corpus
89.27,89.45,AE1,phones,corpus
89.45,89.57,JH,phones,corpus
89.57,89.72,AH0,phones,corpus
89.72,89.78,N,phones,corpus
89.78,89.86,AY1,phones,corpus
89.86,89.97,T,phones,corpus
89.97,90.01,R,phones,corpus
90.01,90.06,AY1,phones,corpus
90.06,90.1,T,phones,corpus
90.1,90.15,IH0,phones,corpus
90.15,90.3,S,phones,corpus
90.3,90.5,IY1,phones,corpus
90.5,90.58,W,phones,corpus
90.58,90.65,AH1,phones,corpus
90.65,90.71,T,phones,corpus
90.71,90.74,IH0,phones,corpus
90.74,90.81,Z,phones,corpus
90.81,90.98,ER0,phones,corpus
90.98,91.25,AW1,phones,corpus
91.25,91.32,N,phones,corpus
91.32,91.41,D,phones,corpus
91.41,91.44,M,phones,corpus
91.44,91.88,IY1,phones,corpus
91.88,91.89,M,phones,corpus
91.89,91.92,EY1,phones,corpus
91.92,91.95,B,phones,corpus
